# galuboy patch-array antenna pattern
# N=8  fov_in=50.0  fov_out=70.0  floor=-20.0 dB  G_max=9.03 dBi
# az/el are offsets from boresight in degrees.
az_deg,el_deg,gain_dbi
-180,-90,-20.000
-180,-85,-20.000
-180,-80,-20.000
-180,-75,-20.000
-180,-70,-20.000
-180,-65,-20.000
-180,-60,-20.000
-180,-55,-20.000
-180,-50,-20.000
-180,-45,-20.000
-180,-40,-20.000
-180,-35,-20.000
-180,-30,-20.000
-180,-25,-20.000
-180,-20,-20.000
-180,-15,-20.000
-180,-10,-20.000
-180,-5,-20.000
-180,0,-20.000
-180,5,-20.000
-180,10,-20.000
-180,15,-20.000
-180,20,-20.000
-180,25,-20.000
-180,30,-20.000
-180,35,-20.000
-180,40,-20.000
-180,45,-20.000
-180,50,-20.000
-180,55,-20.000
-180,60,-20.000
-180,65,-20.000
-180,70,-20.000
-180,75,-20.000
-180,80,-20.000
-180,85,-20.000
-180,90,-20.000
-175,-90,-20.000
-175,-85,-20.000
-175,-80,-20.000
-175,-75,-20.000
-175,-70,-20.000
-175,-65,-20.000
-175,-60,-20.000
-175,-55,-20.000
-175,-50,-20.000
-175,-45,-20.000
-175,-40,-20.000
-175,-35,-20.000
-175,-30,-20.000
-175,-25,-20.000
-175,-20,-20.000
-175,-15,-20.000
-175,-10,-20.000
-175,-5,-20.000
-175,0,-20.000
-175,5,-20.000
-175,10,-20.000
-175,15,-20.000
-175,20,-20.000
-175,25,-20.000
-175,30,-20.000
-175,35,-20.000
-175,40,-20.000
-175,45,-20.000
-175,50,-20.000
-175,55,-20.000
-175,60,-20.000
-175,65,-20.000
-175,70,-20.000
-175,75,-20.000
-175,80,-20.000
-175,85,-20.000
-175,90,-20.000
-170,-90,-20.000
-170,-85,-20.000
-170,-80,-20.000
-170,-75,-20.000
-170,-70,-20.000
-170,-65,-20.000
-170,-60,-20.000
-170,-55,-20.000
-170,-50,-20.000
-170,-45,-20.000
-170,-40,-20.000
-170,-35,-20.000
-170,-30,-20.000
-170,-25,-20.000
-170,-20,-20.000
-170,-15,-20.000
-170,-10,-20.000
-170,-5,-20.000
-170,0,-20.000
-170,5,-20.000
-170,10,-20.000
-170,15,-20.000
-170,20,-20.000
-170,25,-20.000
-170,30,-20.000
-170,35,-20.000
-170,40,-20.000
-170,45,-20.000
-170,50,-20.000
-170,55,-20.000
-170,60,-20.000
-170,65,-20.000
-170,70,-20.000
-170,75,-20.000
-170,80,-20.000
-170,85,-20.000
-170,90,-20.000
-165,-90,-20.000
-165,-85,-20.000
-165,-80,-20.000
-165,-75,-20.000
-165,-70,-20.000
-165,-65,-20.000
-165,-60,-20.000
-165,-55,-20.000
