# galuboy antenna pattern v1
# Vehicular roof-whip: stronger horizon emphasis, deep notch at zenith/nadir
# G(el) = 7 - 17 * sin(el)^2  (peak 7 dBi at horizon; -10 dBi at zenith/nadir)
# Offsets from boresight in degrees. RX boresight default = +pi/2 (zenith).
az_deg,el_deg,gain_dbi
0,-90,-10.0
0,-60,-5.75
0,-30,2.75
0,0,7.0
0,30,2.75
0,60,-5.75
0,90,-10.0
90,-90,-10.0
90,-60,-5.75
90,-30,2.75
90,0,7.0
90,30,2.75
90,60,-5.75
90,90,-10.0
180,-90,-10.0
180,-60,-5.75
180,-30,2.75
180,0,7.0
180,30,2.75
180,60,-5.75
180,90,-10.0
270,-90,-10.0
270,-60,-5.75
270,-30,2.75
270,0,7.0
270,30,2.75
270,60,-5.75
270,90,-10.0
